Device,Time,DHT1-OUT Temp,DHT1-OUT Hum,DHT2-IN Temp,DHT2-IN Hum,Soil,Infrared
S120,1486911899,21.80,8.50,21.50,11.50,0.20,17.60
S120,1486912198,21.80,8.40,21.50,11.60,0.20,17.60
S120,1486912497,21.70,8.40,21.40,11.50,0.20,17.60
S120,1486912796,21.70,10.60,21.50,11.80,0.20,17.60
S120,1486913095,21.70,10.10,21.50,11.60,0.20,17.60
S120,1486913394,21.70,9.90,21.50,11.60,0.20,17.60
S120,1486913693,21.60,9.70,21.60,11.80,0.20,17.60
S120,1486913992,21.60,10.00,21.60,11.80,0.20,17.60
S120,1486914291,21.60,10.10,21.60,12.20,0.20,17.60
S120,1486914590,21.60,10.30,21.70,11.90,0.20,17.60
S120,1486917880,21.50,10.00,21.40,11.40,0.20,17.60
S120,1486918180,21.50,9.90,21.40,11.10,0.20,17.60
S120,1486918479,21.50,9.30,21.40,11.20,0.20,17.60
S120,1486918778,21.50,9.60,21.40,11.10,0.20,17.60
S120,1486919078,21.40,9.80,21.40,11.30,0.20,17.60
S120,1486919377,21.50,10.00,21.40,11.00,0.20,17.60
S120,1486919676,21.40,9.80,21.50,11.30,0.20,17.60
S120,1486919976,21.40,10.00,21.50,11.10,0.20,17.60
S120,1486920275,21.40,9.80,21.50,11.20,0.20,17.60
S120,1486920574,21.40,9.60,21.50,11.00,0.20,17.60
S120,1486920873,21.40,9.60,21.50,11.00,0.20,17.60
S120,1486921173,21.40,9.70,21.40,10.80,0.20,17.60
S120,1486921472,21.40,9.60,21.40,10.90,0.20,17.60
S120,1486921771,21.40,9.90,21.50,11.00,0.20,17.60
S120,1486922070,21.40,10.00,21.50,11.00,0.20,17.60
S120,1486922370,21.40,9.90,21.50,11.10,0.20,17.60
S120,1486922669,21.40,9.80,21.50,11.00,0.20,17.60
S120,1486922969,21.40,9.60,21.40,11.00,0.20,17.60
S120,1486923268,21.40,9.70,21.40,11.10,0.20,17.60
S120,1486923567,21.40,9.90,21.40,11.10,0.20,17.60
S120,1486923866,21.40,10.00,21.40,11.00,0.20,17.60
S120,1486924166,21.40,10.00,21.40,11.20,0.20,17.60
S120,1486924465,21.40,9.60,21.40,11.10,0.20,17.60
S120,1486924765,21.40,9.90,21.40,11.10,0.20,17.60
S120,1486925064,21.40,9.80,21.40,10.90,0.20,17.60
S120,1486925363,21.40,9.70,21.30,11.10,0.20,17.60
S120,1486925662,21.40,9.90,21.40,11.00,0.20,17.60
S120,1486925962,21.40,10.00,21.40,11.10,0.20,17.60
S120,1486926261,21.40,10.00,21.50,11.50,0.20,17.60
S120,1486926560,21.40,9.80,21.40,11.00,0.20,17.60
S120,1486926859,21.40,9.80,21.40,10.90,0.20,17.60
S120,1486927158,21.40,9.50,21.40,10.90,0.20,17.60
S120,1486927457,21.40,9.80,21.40,10.80,0.20,17.60
S120,1486927756,21.40,9.90,21.40,10.90,0.20,17.60
S120,1486928055,21.40,10.00,21.40,11.10,0.20,17.60
S120,1486928354,21.40,9.90,21.40,11.40,0.20,17.60
S120,1486928653,21.40,9.80,21.40,10.70,0.20,17.60
S120,1486928952,21.40,9.70,21.40,10.80,0.20,17.60
S120,1486929251,21.40,9.50,21.40,10.80,0.20,17.60
S120,1486929550,21.40,9.70,21.40,10.90,0.20,17.60
S120,1486929849,21.40,9.50,21.40,11.10,0.20,17.60
S120,1486930148,21.40,9.60,21.40,11.10,0.20,17.60
S120,1486930447,21.30,9.60,21.40,10.90,0.20,17.60
S120,1486930746,21.40,9.60,21.40,10.90,0.20,17.60
