Device,Time,DHT1-OUT Temp,DHT1-OUT Hum,DHT2-IN Temp,DHT2-IN Hum,Soil,Infrared
S132,1486911899,20.80,9.50,20.60,7.90,0.10,17.50
S132,1486912198,20.80,9.40,20.60,7.90,0.10,17.50
S132,1486912497,20.80,9.70,20.60,8.10,0.10,17.50
S132,1486912796,20.90,9.70,20.70,8.20,0.10,17.50
S132,1486913095,20.80,10.00,20.70,8.30,0.10,17.50
S132,1486913394,20.90,10.20,20.70,8.70,0.10,17.50
S132,1486913693,20.90,10.80,20.70,9.20,0.10,17.50
S132,1486913992,20.90,10.30,20.70,8.70,0.10,17.50
S132,1486914291,20.80,10.30,20.60,8.80,0.10,17.50
S132,1486914590,20.80,10.20,20.60,8.60,0.10,17.50
S132,1486914889,20.80,10.00,20.60,8.50,0.10,17.50
S132,1486915188,20.80,10.10,20.60,8.50,0.10,17.50
S132,1486915487,20.80,10.30,20.60,8.70,0.10,17.50
S132,1486915786,20.90,10.80,20.70,9.10,0.10,17.50
S132,1486916085,20.80,10.70,20.70,9.20,0.10,17.50
S132,1486916385,20.90,10.80,20.70,9.40,0.10,17.50
S132,1486916684,20.90,10.80,20.70,9.40,0.10,17.50
S132,1486916983,20.90,10.80,20.80,9.60,0.10,17.50
S132,1486917282,20.90,10.80,20.80,9.70,0.10,17.50
S132,1486917581,20.90,10.80,20.70,9.60,0.10,17.50
S132,1486917880,20.90,10.80,20.70,9.40,0.10,17.50
S132,1486918180,20.90,11.00,20.60,9.90,0.10,17.50
S132,1486918479,20.90,11.20,20.70,10.00,0.10,17.50
S132,1486918778,20.90,11.00,20.70,9.80,0.10,17.50
S132,1486919078,20.80,11.30,20.70,10.10,0.10,17.50
S132,1486919377,20.80,11.30,20.70,10.10,0.10,17.50
S132,1486919676,20.90,11.30,20.70,10.00,0.10,17.50
S132,1486919976,20.80,11.20,20.70,9.90,0.10,17.50
S132,1486920275,20.90,11.60,20.60,10.10,0.10,17.50
S132,1486920574,20.80,11.20,20.60,10.00,0.10,17.50
S132,1486920873,20.80,11.60,20.70,10.10,0.10,17.50
S132,1486921173,20.80,11.70,20.80,10.00,0.10,17.50
S132,1486921472,20.90,11.90,20.80,10.40,0.10,17.50
S132,1486921771,20.90,12.00,20.80,11.00,0.10,17.50
S132,1486922070,20.90,12.00,20.80,10.70,0.10,17.50
S132,1486922370,20.90,12.10,20.70,10.70,0.10,17.50
S132,1486922669,20.90,11.90,20.70,10.50,0.10,17.50
S132,1486922969,21.00,12.00,20.70,10.50,0.10,17.50
S132,1486923268,20.90,12.00,20.70,10.70,0.10,17.50
S132,1486923567,20.90,12.20,20.70,10.60,0.10,17.50
S132,1486923867,20.90,12.00,20.70,10.60,0.10,17.50
S132,1486924166,20.90,12.00,20.70,10.60,0.10,17.50
S132,1486924465,21.20,37.10,20.70,10.90,0.10,17.50
S132,1486924765,21.80,12.80,22.80,9.20,0.10,17.50
S132,1486925064,21.60,11.30,21.80,9.90,0.10,17.50
S132,1486925363,21.40,11.40,21.10,10.00,0.10,17.50
S132,1486925662,21.30,11.40,20.90,10.30,0.10,17.50
S132,1486925962,21.20,11.50,20.80,10.40,0.10,17.50
S132,1486926261,21.20,11.60,20.70,10.40,0.10,17.50
S132,1486926560,21.10,11.60,20.70,10.40,0.10,17.50
S132,1486926859,21.10,11.80,20.80,10.40,0.10,17.50
S132,1486927158,21.10,11.80,20.80,10.40,0.10,17.50
S132,1486927457,21.00,11.80,20.70,10.30,0.10,17.50
S132,1486927756,21.00,11.90,20.70,10.40,0.10,17.50
S132,1486928055,21.00,12.00,20.70,10.50,0.10,17.50
S132,1486928354,20.90,11.80,20.70,10.40,0.10,17.50
S132,1486928653,20.90,11.70,20.60,10.40,0.10,17.50
S132,1486928952,20.90,12.40,20.70,10.80,0.10,17.50
S132,1486929251,20.90,12.40,20.70,10.70,0.10,17.50
S132,1486929550,20.90,12.40,20.70,10.90,0.10,17.50
S132,1486929849,20.90,12.50,20.70,11.00,0.10,17.50
S132,1486930148,20.90,12.50,20.70,11.00,0.10,17.50
S132,1486930447,20.90,12.60,20.70,11.10,0.10,17.50
S132,1486930746,20.90,12.60,20.70,11.20,0.10,17.50
S132,1486931045,20.90,12.90,20.70,11.50,0.10,17.50
S132,1486931344,20.90,13.00,20.60,11.50,0.10,17.50
S132,1486931643,20.90,12.90,20.60,11.40,0.10,17.50
S132,1486931942,20.90,12.80,20.60,11.40,0.10,17.50
S132,1486932241,20.90,13.00,20.60,11.50,0.10,17.50
S132,1486932540,20.80,12.90,20.70,11.50,0.10,17.50
S132,1486932839,20.80,13.10,20.60,11.90,0.10,17.50
S132,1486933138,20.80,13.60,20.60,11.90,0.10,17.50
