Device,Time,DHT1-OUT Temp,DHT1-OUT Hum,DHT2-IN Temp,DHT2-IN Hum,Soil,Infrared
S154,1486911899,20.60,9.40,21.00,12.90,0.10,17.50
S154,1486912198,20.60,9.40,21.00,13.10,0.10,17.50
S154,1486912497,20.60,9.70,21.00,13.40,0.10,17.50
S154,1486912796,20.70,9.70,21.00,13.30,0.10,17.50
S154,1486913095,20.60,9.90,21.00,13.50,0.10,17.50
S154,1486913394,20.60,9.90,21.00,13.70,0.10,17.50
S154,1486913693,20.70,10.20,21.00,14.00,0.10,17.50
S154,1486913992,20.70,10.10,21.00,14.00,0.10,17.50
S154,1486914291,20.70,10.10,21.00,13.80,0.10,17.50
S154,1486914590,20.60,9.90,21.00,13.80,0.10,17.50
S154,1486914889,20.70,9.90,21.00,13.70,0.10,17.50
S154,1486915188,20.70,10.00,21.00,13.80,0.10,17.50
S154,1486915487,20.70,10.90,21.10,14.80,0.10,17.50
S154,1486915786,20.70,10.40,21.20,14.20,0.10,17.50
S154,1486916085,20.70,11.00,21.50,15.10,0.10,17.50
S154,1486916384,20.80,10.80,21.40,14.50,0.10,17.50
S154,1486916683,20.80,11.00,21.40,14.80,0.10,17.50
S154,1486916982,20.80,11.30,21.20,14.80,0.10,17.50
S154,1486917281,20.80,10.90,21.20,14.80,0.10,17.50
S154,1486917580,20.80,11.10,21.20,14.90,0.10,17.50
S154,1486917879,20.80,11.20,21.10,15.10,0.10,17.50
S154,1486918179,20.80,11.40,21.10,15.30,0.10,17.50
S154,1486918478,20.80,11.50,21.10,15.50,0.10,17.50
S154,1486918777,20.70,11.30,21.10,15.70,0.10,17.50
S154,1486919077,20.70,11.30,21.10,15.20,0.10,17.50
S154,1486919376,20.70,11.30,21.10,15.30,0.10,17.50
S154,1486919675,20.70,11.30,21.10,15.30,0.10,17.50
S154,1486919975,20.70,11.40,21.10,15.30,0.10,17.50
S154,1486920274,20.70,11.30,21.00,15.20,0.10,17.50
S154,1486920573,20.70,11.40,21.00,15.40,0.10,17.50
S154,1486920872,20.70,11.50,21.00,15.40,0.10,17.50
S154,1486921172,20.70,11.60,21.10,15.40,0.10,17.50
S154,1486921471,20.70,11.80,21.10,15.80,0.10,17.50
S154,1486921770,20.70,12.00,21.10,15.80,0.10,17.50
S154,1486922069,20.70,11.80,21.10,15.90,0.10,17.50
S154,1486922369,20.70,11.80,21.10,15.80,0.10,17.50
S154,1486922668,20.70,11.70,21.00,15.70,0.10,17.50
S154,1486922968,20.70,11.70,21.10,15.70,0.10,17.50
S154,1486923267,20.70,11.90,21.10,15.90,0.10,17.50
S154,1486923566,20.70,11.80,21.10,15.90,0.10,17.50
S154,1486923865,20.70,11.80,21.00,15.80,0.10,17.50
S154,1486924164,20.70,11.70,21.00,15.70,0.10,17.50
S154,1486924463,20.70,11.70,21.00,15.70,0.10,17.50
S154,1486924763,20.70,11.70,21.00,15.70,0.10,17.50
S154,1486925062,20.70,11.70,21.00,15.70,0.10,17.50
S154,1486925361,20.70,11.70,21.00,15.70,0.10,17.50
S154,1486925660,20.70,11.70,21.00,15.70,0.10,17.50
S154,1486925960,20.70,11.70,21.00,15.70,0.10,17.50
S154,1486926259,20.70,11.70,21.00,15.70,0.10,17.50
S154,1486926558,20.70,11.70,21.00,15.70,0.10,17.50
S154,1486926857,20.70,11.70,21.00,15.80,0.10,17.50
S154,1486927156,22.20,20.40,21.30,17.30,0.10,17.50
S154,1486927455,21.40,11.40,23.30,14.40,0.10,17.50
S154,1486927754,21.30,11.50,21.90,15.00,0.10,17.50
S154,1486928053,21.20,11.60,21.40,15.50,0.10,17.50
S154,1486928352,21.10,11.50,21.20,15.60,0.10,17.50
S154,1486928651,21.00,11.70,21.10,15.90,0.10,17.50
S154,1486928950,21.00,11.90,21.10,16.00,0.10,17.50
S154,1486929249,20.90,11.90,21.10,16.10,0.10,17.50
S154,1486929548,20.90,12.00,21.00,16.10,0.10,17.50
S154,1486911899,20.80,12.50,21.10,16.30,0.10,17.50
S154,1486912198,20.80,12.60,21.10,16.60,0.10,17.50
S154,1486912497,20.80,12.70,21.10,16.70,0.10,17.50
S154,1486912796,20.80,12.60,21.00,16.50,0.10,17.50
S154,1486913095,20.70,12.50,21.00,16.50,0.10,17.50
S154,1486913394,20.70,12.60,21.00,16.60,0.10,17.50
